 lbol         lx
   3589142653673.6523        2.7404557989016865E+068
   785218856058.76099        8.6552136255285132E+063
   2113443879781.8328        1.0969271540449814E+066
   3427604624431.6152        3.8545569168508150E+066
   412088713588.43579        2.3107753287494821E+065
   3427604624431.6152        1.7063080675371345E+065
   5688407758579.2246        5.2730412709501693E+066
   4216874928130.3511        3.8671408906983632E+066
   1840732668705.5129        1.9400941301234883E+065
   21626723117594.234        6.9299468321671533E+067
   3845835642663.0610        1.1804868957819256E+067
   4518462893264.1279        1.2246373484665090E+067
   4731411488845.4893        9.6983944111964363E+068
   9225517140758.5332        1.4406542052490428E+069
   3758293735688.8096        1.2061401489803293E+066
   4216874928130.3511        2.0640877417556460E+067
   785218856058.76099        6.6643488447612570E+065
   285095734826.62061        8.2450590420388581E+064
   272264313065.75845        3.5951236897315595E+064
   2850957348266.2061        5.7193188219675318E+066
   11091511149287.447        4.3342958515462003E+067
   9885319717123.2383        4.2397896159896745E+066
   3349582817714.8525        9.5475725154016081E+068
   2317345132953.0718        6.7128436506629276E+067
   3349582817714.8525        5.3255646667350678E+066
   4731411488845.4893        9.5551085582899610E+065
   732808874483.74219        3.7290126288107470E+065
   4841620220132.2959        5.1134256784956666E+067
   188360884054.85934        1.9225615342081048E+064
   3758293735688.8096        3.1049968968271501E+066
   393541666260.06433        1.8798411918209001E+064
   2213047421223.0264        1.5313869788097033E+066
   9885319717123.2383        2.7393875732717227E+069
   1678768146215.9617        3.9136068430372550E+066
   3198826757182.5044        9.1284003009357308E+065
   568840775857.92249        4.1115234885733578E+064
   8222250806470.0449        3.9917289834228094E+067
   3845835642663.0610        2.1506869244578827E+067
   944040704030.42969        1.1751775483313702E+066
   17178716796869.381        2.4555319729734325E+067
   8413771631035.5381        2.8782745317288996E+067
   609523872938.09375        1.3755474967056442E+066
   2600104004160.1665        2.5181014660102801E+068
   1364553978808.5576        8.5517982008483896E+064
   5308731005381.0195        1.2985472757576598E+067
   518788953450.04333        2.1458227934523133E+065
   1462145931332.1609        6.2577124020352585E+065
