Lbol	Lx	z
46.14	45.38	0.45
45.48	43.39	0.025
45.91	44.39	0.089
46.12	44.53	0.142
45.20	44	0.064
46.12	43.91	0.061
46.34	44.59	0.155
46.21	44.37	0.171
45.85	44.23	0.045
46.92	44.96	0.367
46.17	44.94	0.155
46.24	44.64	0.223
46.26	45.45	0.781
46.55	45.78	0.651
46.16	44.33	0.1
46.21	44.97	0.198
45.48	44.46	0.064
45.04	44.24	0.029
45.02	43.91	0.028
46.04	44.51	0.177
46.63	44.9	0.311
46.58	44.38	0.177
46.11	45.6	0.652
45.95	45.01	0.341
46.11	44.54	0.165
46.26	44.37	0.085
45.45	44.13	0.07
46.27	45.56	0.158
44.86	43.17	0.048
46.16	44.36	0.155
45.18	43.54	0.031
45.93	44.07	0.152
46.58	45.74	0.94
45.81	44.62	0.129
46.09	44.34	0.086
45.34	43.75	0.036
46.5	45	0.266
46.17	45.36	0.129
45.56	43.99	0.146
46.82	44.5	0.371
46.51	45.08	0.206
45.37	44.12	0.136
46	45.25	0.501
45.72	43.61	0.061
46.31	44.76	0.2
45.30	43.89	0.07
45.75	44.38	0.068
